X (m),Y (m),Z (m),Ux (m/s),Uy (m/s),Uz (m/s),Gamma (dimensionless),Phi_v (W/m^3),KE_Flux_Density (W/m^2)
0.00302,0.0151165,0.016002,0.08629967,-0.016379775,0.07822698,0.017167078,0.27937242,0.8136866
0.00602234,0.0150515,0.0160003,0.08839708,-0.035571285,0.081940874,0.011270098,0.22369282,0.99241734
0.0089736,0.0149074,0.016,0.0,0.0,0.0,0.0,54.275806,0.0
-1.0842e-19,-0.0177445,0.027,5.295488e-08,0.0,0.0,1000000.0,2.1289876,7.424855e-20
-0.0091577,-0.0151992,0.027,-0.005635967,0.0024982102,0.00095488835,619.0555,1.5029289,0.00012138887
-0.00603191,-0.0151309,0.027,-0.02304334,0.008561005,0.0055303494,0.021869214,0.0034983354,0.007998311
-0.0030127,-0.0151045,0.0270001,-0.025788184,0.0040525836,0.0069275494,0.019027775,0.0037486649,0.009850508
-5.69227e-11,-0.0149947,0.0270004,-0.027107913,-0.001185833,0.008157148,0.015154195,0.0034469191,0.011372821
0.0030127,-0.0151045,0.0270001,-0.02834021,-0.007412329,0.01002243,0.01485639,0.0044090156,0.014838786
0.00603191,-0.0151309,0.027,-0.029948084,-0.014053723,0.013185754,0.013306555,0.0060100425,0.022583015
0.0091577,-0.0151992,0.027,5.295488e-08,0.0,0.0,1000000.0,6.1298532,7.424855e-20
-0.012069,-0.0120692,0.027,-0.015002061,0.015044823,0.0028918153,1.0390582,0.10243595,0.0049292687
-0.00904343,-0.0120698,0.0270003,-0.017835049,0.012997447,0.0034191266,0.023832114,0.00265423,0.0055686
-0.00601544,-0.0120364,0.0270011,-0.019260518,0.009305109,0.0030233646,0.036161453,0.0036458035,0.0050410083
-0.00300489,-0.0120256,0.0270019,-0.019869776,0.0042164824,0.002672078,0.07364498,0.006332761,0.00429952
-4.31398e-09,-0.0120093,0.0270027,-0.021174492,-0.0012778875,0.0034315945,0.066654935,0.0066140573,0.004961416
